Car Model,Brand,Year,Price,Engine Type,Fuel Type,Mileage (MPG),Color,Transmission,Location
Even Really,Hyundai,2020,21094,Electric,Hybrid,21.278941558288036,Black,Automatic,Walkerchester
Walk Matter,Ford,2023,9858,Electric,Electric,30.961925258068437,Gray,Automatic,Port Kristinborough
Onto Meet,BMW,2024,39794,Turbo,Hybrid,34.71017278791769,Blue,Automatic,Lake Sarahberg
Or The,Mercedes,2001,38362,Inline-4,Petrol,44.35954100859492,Yellow,Manual,Dennisside
Program Soldier,BMW,2025,38917,V6,Electric,38.27703513797373,Green,Manual,Pattersonberg
Ability Challenge,BMW,2023,48456,Electric,Petrol,39.44237611945188,Yellow,Manual,Port Jesse
Good Fish,Chevrolet,2022,46315,V8,Petrol,21.44887239411698,Blue,Manual,Parkside
Church Early,Audi,2023,24112,V8,Hybrid,17.14396542419597,White,Manual,Hoffmantown
Voice Network,Tesla,2022,42102,Turbo,Electric,23.103716346115913,Blue,Manual,East Andrewtown
Common Respond,Toyota,2010,39986,Inline-4,Petrol,18.075866314936153,Black,Manual,Angelaton
Skin Space,Audi,2013,38610,V6,Diesel,44.67343591817229,Green,Manual,North Donaldton
Individual Order,Chevrolet,2018,29590,Inline-4,Petrol,41.17389979366337,Black,Manual,Beckerstad
Purpose Long,Toyota,2012,18246,Inline-4,Petrol,32.84386630436647,Yellow,Automatic,North Julie
Six Officer,Hyundai,2013,18207,Inline-4,Hybrid,30.02334660519073,Blue,Automatic,Port Jonathan
Main Option,Hyundai,2008,38969,Electric,Electric,22.39049570578594,Black,Manual,Gomezside
Throw Card,BMW,2015,40059,V6,Petrol,31.160829598673825,Black,Manual,Johnsonton
Model Traditional,Hyundai,2023,26099,Electric,Hybrid,31.20531450302533,Blue,Manual,East Vanessa
Everyone Bill,Mercedes,2023,46754,V8,Diesel,17.124132771687464,Black,Automatic,Watsonbury
Possible So,Mercedes,2000,43738,Electric,Hybrid,43.94266797390971,Gray,Manual,Olsonchester
Social She,Ford,2001,43165,V6,Diesel,27.474638765018575,Blue,Automatic,New Loganborough
National Onto,Nissan,2011,24946,Electric,Electric,17.01822124365871,Green,Manual,East Stacey
Herself Forget,Chevrolet,2000,21628,Electric,Electric,28.335410612125997,Green,Automatic,Hutchinsontown
